Correct,cdfRatioOfSums1,cdfRatioOfSums2,cdfRatioOfSums3,cdfRatioOfSums4,cdfRatioOfSums5,tOrthoVStParaAbs,hOrthoVShParaAbs,validFrameLength
0,1.247800751,1.184623586,1.098442409,1.101697716,1.102596615,0.40397,0.50158,71
1,0.8062,0.73239,0.8427,0.86747,0.91129,0,0,1
0,1.378378751,1.315789474,1.166670556,1.139782985,1.070812854,0,0,1
1,0.79512,0.77305,0.8908,0.90385,0.93765,0,0,2
0,1.276682668,1.098599286,1.050574664,1.066996724,1.058167466,0.42139,0.33265,3769
1,0.80293,0.99725,0.99314,0.92336,0.93067,0.24506,0.60798,363
0,1.053785196,0.897537158,1.059894646,1.172841678,1.129905201,0.08521,0.07731,4
0,0.965437343,0.877693422,0.97004501,1.070446055,1.033709259,0.52823,0.28484,168
0,1.032524522,0.9645806,1.008338963,1.15381509,1.148224271,0.34384,0.21011,720
1,0.99725,1.01507,0.98129,0.91843,0.91536,0.19303,0.35352,774
1,1.0513,1.08249,1.02707,0.91737,0.89069,0.18314,0.44937,11821
1,0.93873,0.92517,0.90172,0.84675,0.82863,0.15708,0.42558,4059
1,0.93522,0.92071,0.86726,0.85238,0.79601,0.04787,0.07796,7
1,1.2304,1.61544,1.40845,1.07589,0.90706,0.23087,0.80494,47
0,1.021659174,1.03736592,1.064849324,1.160887382,1.2000192,0.43157,0.20456,6410
0,1.011347317,1.005025126,1.017345745,1.114504157,1.150152395,0.44731,0.17051,7096
0,1.062744431,1.074379277,1.09562626,1.173998286,1.132720909,0.33774,0.14366,6222
0,1.085022351,1.149808557,1.23740936,1.227852609,1.169713771,0.29839,0.24911,187
1,0.93504,0.92586,0.90783,0.84907,0.87617,0.15117,0.40823,3458
1,0.92056,0.90967,0.88077,0.80658,0.83756,0.16371,0.4022,8570
1,1.08352,1.1466,1.09253,0.987,0.97699,0.16501,0.46845,136
0,0.971656772,0.970958627,0.979825395,1.028700751,1.017915309,0.46391,0.15515,3245
1,1.02032,0.99731,0.98481,0.94304,0.94868,0.18921,0.47414,14339
1,0.97814,0.95413,0.9412,0.89383,0.88204,0.20302,0.38837,13796
1,0.93113,0.91962,0.92655,0.86461,0.84991,0.19164,0.42869,4698
0,1.209511599,1.205632716,1.18923033,1.249984375,1.218828462,0.4459,0.20033,9700
0,1.129675444,1.124454639,1.134494299,1.201302212,1.186633757,0.37145,0.15311,3586
0,0.933297246,0.96030115,1.057943569,1.137190684,1.098985636,0.24204,0.12444,100
1,1.04631,0.93348,0.89646,0.87172,0.87146,0.17634,0.44152,5205
0,1.047471404,1.072547085,1.090369853,1.122649453,1.091107474,0.39659,0.19833,13587
1,0.96168,0.9624,0.95085,0.91119,0.93463,0.20806,0.48877,4789
1,0.91989,0.89308,0.89711,0.87678,0.86616,0.16567,0.43342,18662
0,1.039998336,1.059120083,1.036849636,1.042079156,1.053751884,0.45522,0.18068,18597
1,0.94986,0.98564,1.0194,0.95903,0.95021,0.2455,0.36634,111
1,1.071432398,0.985503247,0.98837669,0.961168781,0.941176471,0,0,1
0,0.97564783,0.931445604,0.930068174,1.015857536,1.017469959,0.40189,0.21897,466
1,1.06326,1.07561,1.05027,0.99397,1.00202,0.1821,0.44943,708
1,1.081081081,1.039998336,1.042861612,1.069587353,1.079645444,0,0,1
1,1.12845,1.13788,1.10308,1.01854,1.02667,0.20735,0.26984,255
0,1.153602123,1.077818495,0.888620328,1.034907428,1.015744033,0.39294,0.05671,5
1,0.96021,0.96382,0.96845,0.92793,0.92236,0.16262,0.40359,10527
0,0.841708331,0.763673575,0.837429761,0.996681052,1.008227133,0.38342,0.10794,29
1,0.96124,0.97101,0.97201,0.93088,0.92474,0.16335,0.40159,5276
1,1.02448,1.04251,1.0279,1.00731,0.99377,0.16582,0.31565,3539
0,0.952380952,0.934422247,0.96103946,0.997257542,0.928031182,0,0,1
0,0.951158035,0.934666791,0.944893794,0.934387322,0.93312307,0.45404,0.17048,2992
0,0.839715169,0.796736567,0.845480064,0.894894626,0.930743385,0.2658,0.16394,50
0,0.965167119,0.962704815,0.97225193,0.953370642,0.949297994,0.46186,0.14505,457
0,1.037322877,1.016249835,1.017645981,1.039911815,1.029293699,0.36758,0.13218,1152
0,0.984358543,0.986640882,0.993996263,0.997207818,0.993946864,0.44051,0.18354,6351
1,1.06887,1.06418,1.06331,1.10077,1.09664,0.13434,0.34358,547
1,1.03617,1.02817,1.01709,1.00683,1.00863,0.13027,0.34079,3211
1,0.93929,0.92748,0.96045,0.96025,0.97064,0.20239,0.49605,13501
1,0.90348,0.94047,0.96056,0.895,0.8832,0.16646,0.47189,4941
0,1.177509567,1.15424126,1.097261236,1.106463962,1.092645404,0.29608,0.04867,12
0,1.2909389,1.153642048,1.067418129,1.101079057,1.10991487,0.39109,0.15288,5
0,1.102499366,1.098744135,1.1012852,1.148619933,1.148039722,0.39714,0.13852,135
0,1.073468161,1.078737015,1.05632315,1.115249928,1.140992435,0.37132,0.13831,41
0,0.88619,0.93566,1.01497,1.18504,1.23663,0.1452,0.19332,5
1,0.99862,0.96465,0.9528,0.88189,0.86196,0.15507,0.47192,89
0,0.83644211,0.927876184,1.011838511,1.166901992,1.206578265,0.44003,0.09485,11
0,0.920225639,0.976533891,1.017511371,1.081700866,1.100388437,0.419,0.19459,468
0,1.081759373,1.068022343,1.03777501,1.092347017,1.078132244,0.44772,0.27754,43
1,0.89636,0.87572,0.87924,0.8539,0.90231,0.07427,0.27474,7
1,0.99929,0.93617,0.9375,0.89247,0.94605,0,0,1
0,1.06096293,1.081443511,1.070950469,1.095974486,1.042513709,0.47147,0.12389,157
0,1.04496,1.08316,1.06951,1.0786,1.01112,0.02212,0.10345,11
0,1.052199623,1.063660054,1.055475808,1.081314879,1.040918506,0.28189,0.11472,48
1,0.84439,0.85979,0.88443,0.89518,0.93598,0.25673,0.31172,58
1,0.97297,0.96154,0.92958,0.79592,0.85867,0,0,1
0,1.195157223,1.14894986,1.117206091,1.181921331,1.16867484,0.26451,0.12942,80
1,0.80913,0.83391,0.83602,0.83301,0.83828,0.05336,0.24714,8
1,0.90998,0.91261,0.90121,0.82173,0.8286,0.06794,0.31083,15
1,0.82838,0.84534,0.86869,0.83348,0.84352,0.10827,0.35329,65
1,0.93244,0.89785,0.88546,0.85708,0.86398,0.23409,0.37063,267
1,1.04755,1.03709,0.95435,0.86236,0.85342,0.15649,0.35728,45
1,0.914285714,0.814816626,0.885716057,0.955055107,1.009713443,0,0,1
1,0.8319,0.82737,0.89952,0.88869,0.97546,0.06061,0.2971,9
1,0.93362,0.92228,0.95242,0.92,0.9653,0.13696,0.3431,30
0,1.075026069,1.072903814,1.033965776,1.083376668,1.036720645,0.3398,0.17377,13
0,1.132348945,1.125986646,1.083787621,1.089775724,1.040463631,0.3924,0.14256,81
1,0.94486,0.96064,0.98491,0.93812,0.93007,0.10699,0.58664,11
0,0.983816223,0.956708921,0.927213723,0.869126875,0.910879545,0.43397,0.08898,11
0,1.159178374,1.017863505,0.994164256,1.061165584,1.077981157,0.70282,0.28389,20
0,1.062608917,1.035068107,1.042394171,1.118468146,1.115187742,0.39794,0.16936,53
